#,Δ,Team,Coach,Week 16+
1,1,Broncos,Валера Хвост,1309.7
2,2,Bengals,Станислав,1303.9
3,0,Raiders,Дана Малинка,1292.1
4,-3,Seahawks,Иван Paris,1284.4
5,0,Saints,Артур ArtSt,1282.2
6,3,Commanders,Маркус,1269.1
7,8,Ravens,Чип,1259.9
8,4,Cowboys,Les Paul,1258.7
9,-3,Jaguars,Глеб,1258.0
10,1,Rams,Иван VakiVak,1250.6
11,-4,Giants,Сергей Выборнов,1249.5
12,-7,Patriots,Азат,1242.7
13,-3,Titans,Слава,1237.4
14,3,Panthers,Семен,1235.8
15,7,Colts,Павел dali87,1231.6
16,-3,Lions,Артем Варнава,1221.6
17,-3,Chargers,Олег С,1203.2
18,0,49ers,Кирилл Головко,1199.4
19,5,Chiefs,Варвар,1195.8
20,-1,Bills,Артем Хвост,1195.6
21,2,Steelers,БиллиБ,1194.0
22,0,Cardinals,Lonely Stoner,1188.6
23,-3,Browns,Виктор,1187.1
24,-8,Bears,Артур Новиков,1175.0
25,0,Texans,Михаил Cureyou,1171.8
26,-5,Eagles,Михаил Лобанов,1164.9
27,0,Falcons,Олег О,1157.5
28,-6,Buccaneers,Счастье,1148.9
29,0,Dolphins,Даниил Д,1133.2
30,-2,Vikings,Дмитрий Фетт,1129.8
31,-1,Jets,RT,1083.4
32,—,Packers,D,1078.8
