team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
LV,Raiders,1313381545,Brock Bowers,TE,TE,97,3,1313381545,553386247,MEGA,Raiders,2026-02-04 05:49:54.201324,False,4231,False,,False,False,24,13,12,2002,Georgia,13,1,Brock,Brock Bowers,Brock Bowers,3237,75,4,Napa,0,97,True,False,False,False,89,Bowers,1234,10018,14678,97,97,0,2023,0,0,95,243,3,5770000,3270000,2500000,10000000,4,8030000,1,0,0,0,0,95,81,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Double Me', 'startActivated': False, 'signatureLogoId': 1103, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Aggressive receivers overpower defenders and attack the football. When they enter the zone, this ability increases their success rate on aggressive catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard catches', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Elite', 'startActivated': False, 'signatureLogoId': 1319, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 20+ yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tank', 'startActivated': False, 'signatureLogoId': 1174, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break hit-stick tackle attempts made on them.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Route Technician', 'startActivated': False, 'signatureLogoId': 1186, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability have a high success rate when creating separation on the last cut of any route.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Red Zone Threat', 'startActivated': False, 'signatureLogoId': 1180, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When in the red zone, receivers with this ability have a better chance to win contested catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,86,93,50,91,84,89,92,75,94,67,58,57,53,58,63,61,65,12,6,10,28,15,10,36,15,6,86,75,96,76,94,78,35,70,78,76,82,86,78,84,90,93,31,51,46,23,18,29,26,55,49,29,16,23,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381548,Ashton Jeanty,HB,RB,97,3,1313381548,553387300,MEGA,Raiders,2026-02-04 05:49:54.202162,False,5586,False,,False,False,23,2,12,2003,Boise State,6,1,Ashton,Ashton Jeanty,Ashton Jeanty,9720,69,8,Jacksonville,0,97,True,False,False,False,2,Jeanty,6984,10611,14793,97,97,22,2025,0,0,93,211,2,9780000,4100000,11360000,22720000,4,13150000,2,0,0,0,0,93,90,0,94,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Balance Beam', 'startActivated': False, 'signatureLogoId': 1214, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Avoid stumbling when carrying the ball', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bruiser', 'startActivated': False, 'signatureLogoId': 1122, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck and stiff arm animations and a larger timing window for perfect attempts.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,92,91,50,92,93,90,90,82,95,48,42,35,42,53,30,32,41,29,18,21,36,24,21,31,27,26,93,99,70,96,60,90,74,84,97,95,91,58,55,59,65,61,30,33,39,32,42,27,28,41,37,35,25,24,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381551,Dont'e Thornton Jr.,WR,WR,92,3,1313381551,553388638,MEGA,Raiders,2026-02-04 05:49:54.202856,False,2330,False,,False,False,24,30,11,2002,Tennessee,6,4,Dont'e,Dont'e Thornton Jr.,Donte Thornton Jr,1292,77,19,Baltimore,0,97,True,False,False,False,10,Thornton Jr.,2966,10754,15065,92,92,24,2025,0,0,88,205,2,1230000,1030000,400000,800000,4,3830000,2,0,0,0,0,88,89,0,86,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Wrecking Ball', 'startActivated': False, 'signatureLogoId': 1183, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Wrecking Ball runners don't avoid contact. They create it. When they enter the zone, this ability increases their success rate on trucks and stiff arms."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 10+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,81,88,50,84,84,97,79,70,80,43,32,19,27,29,30,29,50,21,10,11,30,19,23,17,32,31,94,84,97,87,97,86,50,75,43,30,80,96,89,95,95,92,33,41,39,49,39,33,28,48,51,56,21,28,0,3,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381542,Kolton Miller,LT,OL,87,1,1313381542,553387798,MEGA,Raiders,2026-02-04 05:49:54.201098,False,280,False,,False,False,31,9,10,1995,UCLA,15,1,Kolton,Kolton Miller,Kolton Miller,40266,80,4,Roseville,0,97,True,False,False,False,74,Miller,1893,8993,13098,87,87,24,2019,5,0,82,325,9,20230000,17730000,5000000,45260000,4,36460000,2,0,0,0,0,82,86,0,99,[],[],79,71,94,50,90,77,74,93,88,86,88,84,87,89,88,80,84,82,12,6,6,16,6,6,12,14,6,12,13,22,30,15,10,10,10,10,23,57,14,10,12,15,15,10,30,31,12,13,10,10,27,31,16,12,10,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381546,Jackson Powers-Johnson,C,OL,87,1,1313381546,553388126,MEGA,Raiders,2026-02-04 05:49:54.201591,False,1132,False,,False,False,24,23,1,2003,Oregon,12,2,Jackson,Jackson Powers-Johnson,Jackson PowersJohnson,4724,75,43,Draper,0,97,True,False,False,False,58,Powers-Johnson,815,10211,14704,87,87,0,2023,0,0,80,328,3,2600000,1820000,780000,3120000,4,5050000,1,0,0,0,0,80,88,0,92,[],[],76,69,87,50,92,78,70,83,89,91,95,90,75,88,89,83,88,86,12,6,6,10,8,8,15,9,9,10,5,31,37,17,10,10,10,10,25,57,15,5,10,15,15,37,55,49,11,42,45,11,41,46,11,18,21,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381539,Charles Grant,RT,OL,86,1,1313381539,553386958,MEGA,Raiders,2026-02-04 05:49:54.200870,False,760,False,,False,False,25,22,3,2002,William & Mary,35,3,Charles,Charles Grant,Charles Grant,188,77,45,Portsmouth,0,97,True,False,False,False,60,Grant,815,10565,4602,86,86,24,2025,13,0,86,309,2,1440000,1230000,420000,840000,4,4440000,2,0,0,0,0,86,85,0,99,[],[],78,73,88,50,89,68,75,88,85,88,89,86,90,74,85,90,73,88,12,6,6,21,6,6,14,7,6,16,15,28,25,18,22,10,15,22,40,62,14,6,6,15,25,32,35,27,11,23,28,10,27,33,13,13,11,0,1,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313380859,George Pickens,WR,WR,85,1,1313380859,553388096,MEGA,Raiders,2026-02-04 05:49:54.208298,False,442,False,,False,False,26,4,3,2001,Georgia,20,2,George,George Pickens,George Pickens,6086,75,0,Hoover,0,97,True,False,False,False,3,Pickens,314,1888,22365,85,85,24,2023,6,0,84,200,5,17160000,9060000,16200000,24300000,3,27300000,2,0,0,0,0,84,90,0,81,[],[],94,92,85,50,85,96,91,88,61,79,49,29,25,21,32,38,34,53,20,6,10,31,15,10,28,15,6,85,76,89,73,91,83,74,79,46,38,91,77,86,84,85,98,11,18,22,12,15,11,16,31,24,17,16,19,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313380849,Javonte Williams,HB,RB,85,2,1313380849,553388886,MEGA,Raiders,2026-02-04 05:49:54.211959,False,506,False,,False,False,27,25,4,2000,North Carolina,3,2,Javonte,Javonte Williams,Javonte Williams,5784,70,32,Wallace,0,97,True,False,False,False,29,Williams,762,1118,21581,85,85,24,2022,4,0,79,220,6,4870000,1570000,6600000,6600000,2,3400000,2,0,0,0,0,79,86,0,86,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Back', 'startActivated': False, 'signatureLogoId': 1394, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running Backs with this ability receive improved blocking from their O-Line within 5 yards of the end zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tank', 'startActivated': False, 'signatureLogoId': 1174, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break hit-stick tackle attempts made on them.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,84,83,50,88,87,88,88,80,89,52,52,33,37,62,38,43,52,26,10,10,35,10,18,32,15,13,84,92,69,92,51,83,42,75,89,94,86,49,53,57,65,53,10,30,31,15,15,10,17,38,35,20,14,18,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381552,Caleb Rogers,LG,OL,85,1,1313381552,553388271,MEGA,Raiders,2026-02-04 05:49:54.203188,False,670,False,,False,False,25,3,10,2001,Texas Tech,34,3,Caleb,Caleb Rogers,Caleb Rogers,7842,77,42,Mansfield,0,97,True,False,False,False,76,Rogers,915,10712,15141,85,85,24,2025,0,0,75,312,2,1440000,1230000,420000,840000,4,4440000,2,0,0,0,0,75,86,0,99,[],[],73,70,83,50,90,66,69,87,86,87,92,89,72,85,87,73,89,90,12,6,6,30,6,6,22,10,6,13,14,24,24,10,10,10,11,15,29,64,12,5,10,10,15,10,28,24,10,25,10,10,26,22,10,13,15,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381578,Joe Milton III,QB,QB,82,2,1313381578,553387808,MEGA,Raiders,2026-02-04 05:49:54.206440,False,739,False,,False,False,27,6,3,2000,Tennessee,17,6,Joe,Joe Milton III,Joe Milton III,5685,77,8,Pahokee,0,97,True,False,False,False,1,Milton III,2189,10180,14614,82,82,0,2023,0,0,81,246,3,1190000,1190000,0,0,4,3980000,1,0,0,0,0,81,0,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bulldozer', 'startActivated': False, 'signatureLogoId': 1123, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck animations and a larger timing window for perfect trucks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,79,70,50,84,83,85,78,64,82,24,19,12,14,12,10,10,17,72,82,87,78,89,86,99,88,84,72,51,27,60,10,56,10,50,40,60,77,13,10,10,10,10,10,21,22,10,16,10,10,24,24,12,21,22,0,2,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
