team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
SF,49ers,1313380058,Fred Warner,MIKE,LB,97,2,1313380058,553388792,MEGA,49ers,2026-02-04 05:49:52.273578,False,1580,False,,False,False,30,19,11,1996,BYU,6,3,Fred,Fred Warner,Fred Warner,18973,75,4,San Marcos,0,97,True,False,False,False,54,Warner,10190,9101,13203,97,97,24,2019,13,0,95,230,9,29550000,20360000,19280000,52510000,5,71620000,3,0,0,0,0,95,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outmatched', 'startActivated': False, 'signatureLogoId': 1339, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are highly likely to force catch knockouts against running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lurk Artist', 'startActivated': False, 'signatureLogoId': 1932, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability can make jumping; 180-degree INTs while lurking in a zone in the middle of the field; have a greater INT rate; and don't tire after INTs."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,83,98,50,96,94,88,97,80,93,81,23,45,45,45,45,45,45,12,6,6,7,6,6,14,10,6,56,21,78,63,60,59,10,53,34,46,82,20,5,5,15,60,62,85,80,77,99,52,58,97,93,87,10,13,0,2,0,0,0,0,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380076,Nick Bosa,LEDGE,DE,96,2,1313380076,553386243,MEGA,49ers,2026-02-04 05:49:52.276963,False,1434,False,,False,False,29,23,10,1997,Ohio State,2,1,Nick,Nick Bosa,Nick Bosa,16842,76,8,Fort Lauderdale,0,97,True,False,False,False,97,Bosa,8021,9390,20565,96,96,24,2020,11,0,96,266,8,52020000,42020000,10000000,70820000,6,129020000,2,0,0,0,0,96,87,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Credit', 'startActivated': False, 'signatureLogoId': 1359, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability pay a reduced stamina cost for each move they attempt', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Effort', 'startActivated': False, 'signatureLogoId': 1348, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend stamina on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'El Toro', 'startActivated': False, 'signatureLogoId': 1324, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a chance to receive dominant bull rush wins when their stamina is full. This consumes additional stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,87,97,50,87,81,80,87,94,90,87,18,45,44,45,45,45,45,12,6,6,21,6,6,25,14,6,30,21,45,38,27,38,10,32,34,31,73,16,6,10,17,23,98,84,92,30,93,95,31,96,90,42,17,17,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380069,Mykel Williams,REDGE,DE,88,1,1313380069,553388898,MEGA,49ers,2026-02-04 05:49:52.275855,False,1734,False,,False,False,23,29,6,2004,Georgia,11,1,Mykel,Mykel Williams,Mykel Williams,7224,77,9,Columbus,0,97,True,False,False,False,98,Williams,579,10782,15199,88,88,22,2025,0,0,88,267,2,6800000,3110000,7380000,14760000,4,10160000,2,0,0,0,0,88,85,0,99,[],[],89,83,85,50,87,79,81,82,86,84,88,52,51,53,52,49,52,50,18,7,18,30,11,21,8,21,25,34,31,41,43,15,39,30,35,38,35,72,22,10,15,20,15,89,86,92,18,80,91,27,92,89,26,21,23,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380071,Nick Martin,WILL,LB,87,1,1313380071,553387660,MEGA,49ers,2026-02-04 05:49:52.276297,False,1174,False,,False,False,24,13,10,2002,Oklahoma State,11,3,Nick,Nick Martin,Nick Martin,7208,72,42,Texarkana,0,97,True,False,False,False,45,Martin,1166,10647,15274,87,87,24,2025,0,0,87,221,2,4250000,1050000,3200000,9600000,4,4310000,2,0,0,0,0,87,84,0,96,[],[],93,79,81,50,88,90,88,87,74,88,73,29,45,45,45,45,45,45,22,6,6,29,6,6,22,12,6,57,43,60,68,52,61,10,55,51,47,82,27,23,26,29,54,61,76,70,78,79,55,48,89,86,91,21,23,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380087,Deommodore Lenoir,CB,CB,83,1,1313380087,553387562,MEGA,49ers,2026-02-04 05:49:52.277401,False,361,False,,False,False,27,6,10,1999,Oregon,28,5,Deommodore,Deommodore Lenoir,Deommodore Lenoir,6689,70,4,Los Angeles,0,97,True,False,False,False,2,Lenoir,1216,1205,21454,83,83,24,2022,11,0,83,200,6,23750000,5200000,61320000,79110000,6,10070000,3,0,0,0,0,83,88,0,99,[],[],93,84,84,50,91,84,92,90,59,87,53,28,37,37,37,35,35,35,10,6,6,20,6,6,25,10,6,69,49,73,59,53,74,64,67,41,42,81,41,30,32,35,56,38,78,44,80,85,34,80,76,69,85,17,22,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380096,Ji'Ayir Brown,SS,S,82,2,1313380096,553386316,MEGA,49ers,2026-02-04 05:49:52.277859,False,397,False,,False,False,27,25,1,2000,Penn State,24,3,Ji'Ayir,Ji'Ayir Brown,JiAyir Brown,2164,71,29,Trenton,0,97,True,False,False,False,27,Brown,832,1874,23058,82,82,24,2024,14,0,79,202,4,8600000,2900000,28500000,28500000,5,19500000,5,0,0,0,0,79,85,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Out My Way', 'startActivated': False, 'signatureLogoId': 1301, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently attempt and win impact blocks against receivers, tight ends, and running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,85,77,50,93,85,86,88,64,87,63,17,35,35,35,35,35,35,15,10,10,35,15,15,30,16,15,75,62,80,63,71,72,59,66,52,55,84,20,15,20,30,70,61,91,64,74,82,51,71,81,79,80,15,20,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380066,Renardo Green,CB,CB,81,1,1313380066,553386974,MEGA,49ers,2026-02-04 05:49:52.275135,False,389,False,,False,False,26,9,11,2000,Florida State,32,2,Renardo,Renardo Green,Renardo Green,9452,72,8,Orlando,0,97,True,False,False,False,0,Green,618,10090,14985,81,81,0,2023,0,0,80,186,3,1930000,1580000,350000,1400000,4,4660000,1,0,0,0,0,80,88,0,98,[],[],92,88,76,50,92,89,90,85,59,85,48,16,21,20,30,24,21,35,35,21,22,35,25,34,25,21,18,65,62,60,57,50,71,50,67,40,35,85,33,21,30,34,60,37,58,42,86,80,32,83,74,66,83,18,21,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380985,Reed Blankenship,FS,S,81,0,1313380985,553386213,MEGA,49ers,2026-02-04 05:49:52.280279,False,226,False,,False,False,28,2,3,1999,Middle Tennessee State,-1,63,Reed,Reed Blankenship,Reed Blankenship,12102,73,0,Athens,0,97,True,False,False,False,32,Blankenship,357,2850,21792,81,81,24,2023,11,0,81,203,5,7970000,3070000,9800000,14700000,3,9300000,2,0,0,0,0,81,82,0,98,[],[],93,81,85,50,88,81,87,89,61,79,62,15,34,34,34,35,35,35,17,12,15,22,20,15,25,10,6,72,58,75,65,59,73,65,65,50,45,83,15,10,12,14,66,41,75,57,65,80,36,60,82,70,82,23,28,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380070,Alfred Collins,DT,DT,81,1,1313380070,553386485,MEGA,49ers,2026-02-04 05:49:52.276075,False,441,False,,False,False,25,8,10,2001,Texas,11,2,Alfred,Alfred Collins,Alfred Collins,7346,78,42,Bastrop,0,97,True,False,False,False,95,Collins,65,10521,15206,81,81,24,2025,0,0,77,332,2,2270000,1460000,1620000,3240000,4,5080000,2,0,0,0,0,77,84,0,92,[],[],79,69,79,50,91,75,73,77,92,91,89,26,45,45,45,45,45,45,17,7,10,20,15,10,24,13,12,27,27,42,45,35,22,23,17,30,33,52,16,10,13,15,36,59,82,81,11,80,74,10,80,89,15,21,20,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313381737,Davon Godchaux,DT,DT,80,1,1313381737,553386927,MEGA,49ers,2026-02-04 05:49:52.284588,False,118,False,,False,False,32,11,11,1994,LSU,34,5,Davon,Davon Godchaux,Davon Godchaux,10441,75,17,Plaquemine,0,97,True,False,False,False,91,Godchaux,81,8566,12719,80,80,0,2018,11,0,70,330,10,7150000,7150000,0,0,1,7150000,1,0,0,0,0,70,80,0,91,[],[],63,57,78,50,88,73,71,82,93,86,84,32,45,45,45,45,45,45,12,6,6,16,6,6,15,14,6,37,12,35,27,24,34,10,20,44,40,50,12,3,6,14,20,71,76,81,22,80,57,10,79,94,31,11,12,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313382497,Manny Feliciano,DT,DT,78,0,1313382497,553386946,MEGA,49ers,2026-02-04 05:49:52.282833,False,801,False,,False,False,22,7,8,2005,Michigan State,21,1,Manny,Manny Feliciano,Manny Feliciano,2139,77,1,PLACEHOLDER,0,97,True,False,False,False,90,Feliciano,0,3950,2573,78,78,24,2027,9,0,77,298,0,4110000,1690000,9680000,9680000,4,8280000,4,0,0,0,0,77,85,0,97,[],[],80,70,77,50,88,74,72,71,93,79,77,37,45,33,45,46,33,29,34,17,30,18,22,32,29,27,27,32,46,45,55,30,37,44,31,33,46,62,47,26,39,33,34,70,76,79,47,80,78,30,81,81,40,42,34,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
